target_schema;target_table;target_column;target_label_fr;target_description;ifs_data_type;ifs_length;mandatory;primary_key;in_scope;default_value;sap_source_table;sap_source_field;join_context;mapping_rule;mapping_status;confidence;comments
clean_data;jt_task;actual_start;Début réel;Lorsque le statut du projet devient **Démarré**, cette valeur est automatiquement définie sur la date du jour (date système). Cette valeur n'est pas modifiable.;DATE;21;FALSE;FALSE;YES;;AFRU;ISDD + ISDZ;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Début réel confirmé. Fallback AFVV.ISDD + ISDZ.;Proposé;Forte;ne pas renseigner
clean_data;jt_task;actual_finish;Fin réelle;Date de fin réelle d'une activité. Lorsque ce champ est défini, la date du champ **Fin proche** est identique. Lorsque l'activité est définie sur fermée, l'option **Fin réelle** est définie sur **Fin au plus tôt** si elle n'a pas été définie manuellement. Cette valeur peut être modifiée.;DATE;21;FALSE;FALSE;YES;;AFRU;IEDD + IEDZ;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Fin réelle confirmée. Fallback AFVV.IEDD + IEDZ.;Proposé;Forte;ne pas renseigner
clean_data;jt_task;earliest_start;Début au plus tôt;Date de début demandé pour le bon de travail. Ce n'est pas une date contraignante, mais une indication, par exemple, d'une échéance de date de début de l'activité connectée.;DATE;21;FALSE;FALSE;YES;;AFVV;SSAVD + SSAVZ;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Début au plus tôt / ordonnancement. Vérifier sens exact selon paramétrage SAP.;A valider;Moyenne;DD/MM/YYYY hh:mm
clean_data;jt_task;latest_start;Début au plus tard;Dernières date et heure auxquelles le début du travail sur la tâche a été planifié.;DATE;21;FALSE;FALSE;YES;;AFVV;FSSBD + FSSBZ;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Début au plus tard proposé depuis dates contraintes opération.;A valider;Faible;ne pas renseigner
clean_data;jt_task;latest_finish;Fin au plus tard;Date de fin demandée pour le bon de travail. Ce n'est pas une date contraignante, mais une indication, par exemple, d'une échéance de date de fin de l'activité connectée.;DATE;21;FALSE;FALSE;YES;;AFVV;FSSLD + FSSLZ;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Fin au plus tard proposée depuis dates contraintes opération.;A valider;Faible;ne pas renseigner
clean_data;jt_task;fixed_start;Début fixé;Date et heure fixes auxquelles le bon de travail ou la demande de service doit commencer. Il s'agit d'une date contraignante, et la valeur indiquée dans ce champ remplace les date et heure de début demandées comme premier point de départ possible pour le bon de travail ou la demande de service. La valeur saisie dans ce champ sera transférée comme fixe dans le temps vers le moteur de planification PSO ou CBS, s'ils sont utilisés.;DATE;21;FALSE;FALSE;YES;;AFVV;FSAVD + FSAVZ;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";"Si l’opération est fixée, reprendre date planifiée; sinon laisser vide. Dépend de logique SAP.";A valider;Faible;ne pas renseigner
clean_data;jt_task;sla_order_no;N° commande CNS;Numéro unique de la commande de contrat de niveau de service (CNS) associée au bon de travail.;NUMBER;20;FALSE;FALSE;NO;;;;;"Pas de mapping SAP proposé à ce stade; champ IFS à laisser vide ou alimenté par défaut/système selon validation métier.";Non mappé;;ne pas renseigner
clean_data;jt_task;sla_order_line_no;N° ligne cde CNS;Numéro de ligne de la commande de contrat de niveau de service (CNS) connectée à l'opération de bon de travail.;NUMBER;20;FALSE;FALSE;NO;;;;;"Pas de mapping SAP proposé à ce stade; champ IFS à laisser vide ou alimenté par défaut/système selon validation métier.";Non mappé;;ne pas renseigner
clean_data;jt_task;sla_latest_start;Début au plus tard CNS;Dernières date et heure auxquelles le début du travail sur la tâche a été planifié.;DATE;21;FALSE;FALSE;NO;;;;;"Pas de mapping SAP proposé à ce stade; champ IFS à laisser vide ou alimenté par défaut/système selon validation métier.";Non mappé;;ne pas renseigner
clean_data;jt_task;sla_latest_finish;Fin au plus tard CNS;Dernières date et heure auxquelles la fin du travail sur la tâche a été planifiée.;DATE;21;FALSE;FALSE;NO;;;;;"Pas de mapping SAP proposé à ce stade; champ IFS à laisser vide ou alimenté par défaut/système selon validation métier.";Non mappé;;ne pas renseigner
clean_data;jt_task;responded_date;Date réponse;Cette date indique quand la ligne de commande CNS a effectivement reçu une réponse et elle est définie lorsque le statut de l'affectation de travail au plus tôt est défini sur **En attente sur place** ou lorsque le statut de la première opération de bon de travail connectée au CNS, est modifié par **Travail commencé**.;DATE;21;FALSE;FALSE;NO;;;;;"Pas de mapping SAP proposé à ce stade; champ IFS à laisser vide ou alimenté par défaut/système selon validation métier.";Non mappé;;ne pas renseigner
clean_data;jt_task;resolved_date;Date résolution;Date et heure de résolution de l'élément de pointage. Une valeur dans ce champ est définie automatiquement lorsque le statut de l'élément de pointage passe à **Résolu**.;DATE;21;FALSE;FALSE;NO;;;;;"Pas de mapping SAP proposé à ce stade; champ IFS à laisser vide ou alimenté par défaut/système selon validation métier.";Non mappé;;ne pas renseigner
clean_data;jt_task;exclude_from_scheduling;Exclure de la planification;"Contrôle si l'opération BT doit être envoyée ou non au moteur de planification PSO. Si une opération BT est exclue de la planification, les opérations BT dépendantes seront également exclues. Les opérations BT exclues n'apparaîtront pas dans la liste des opérations BT de la console de répartition, mais les utilisateurs ont accès à la création d'affectations de travail via la commande Affecter les tâches ; ces affectations apparaîtront dans le diagramme de Gantt de la console de répartition.";VARCHAR2;4000;FALSE;FALSE;YES;False;Constante;FALSE;;Libellé correspondant au champ *_DB.;Défaut à valider;Moyenne;ne pas renseigner
clean_data;jt_task;exclude_from_scheduling_db;Exclure de la planification;"Contrôle si l'opération BT doit être envoyée ou non au moteur de planification PSO. Si une opération BT est exclue de la planification, les opérations BT dépendantes seront également exclues. Les opérations BT exclues n'apparaîtront pas dans la liste des opérations BT de la console de répartition, mais les utilisateurs ont accès à la création d'affectations de travail via la commande Affecter les tâches ; ces affectations apparaîtront dans le diagramme de Gantt de la console de répartition.";VARCHAR2;20;TRUE;FALSE;YES;FALSE;Constante;FALSE;;Obligatoire dans fichier IFS. Mettre FALSE/NO sauf règle de non-planification identifiée.;Défaut à valider;Moyenne;"""FALSE"""
clean_data;jt_task;adjusted_duration;Durée ajustée;L'option **Ajuster la durée** permet à un service d'archivage d'ajuster automatiquement la durée en fonction des durées moyennes historiques. Le service d'archivage calcule les durées à partir des tâches terminées du même jeu de données, du même type d'activité et du même emplacement. La durée calculée est ensuite utilisée lorsque l'option **Ajuster la durée** est activée sur les tâches du même jeu de données, du même emplacement et du même type de travail. L'option **Ajuster la durée** se trouve dans les pages ***Tâche de travail***. Le champ de durée se trouve sur les tâches dans l'onglet ***Informations de planification/Allocations***. La valeur **Oui** ou **Non** du champ **Durée ajustée**, dans ***Informations de planification/Allocations*** indique si la valeur a été ajustée ou non.;VARCHAR2;5;FALSE;FALSE;YES;;Constante;FALSE;;Aucun équivalent SAP direct identifié.;Défaut à valider;Faible;"""FALSE"""
clean_data;jt_task;remark;Remarque;Zone de texte facultative pour vos commentaires.;VARCHAR2;2000;FALSE;FALSE;YES;;AFRU;LTXA1;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Texte de confirmation ou remarque opération selon choix métier.;Proposé;Moyenne;ne pas renseigner
clean_data;jt_task;internal_remark;Remarque interne;Toute information supplémentaire concernant l'employé. Ces informations ne sont affichées nulle part ailleurs dans le système.;VARCHAR2;2000;FALSE;FALSE;YES;;;;;Pas de source SAP standard identifiée dans les tables disponibles.;Non mappé;;ne pas renseigner
clean_data;jt_task;action_taken;Action entreprise;Description de l'action prise.;VARCHAR2;4000;FALSE;FALSE;YES;;AFRU;LTXA1;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";"Action réalisée depuis texte de confirmation; si besoin enrichir avec catalogues causes/actions QM non disponibles.";Proposé partiel;Moyenne;ne pas renseigner
clean_data;jt_task;cancel_cause;Raison d'annulation;ID de la cause d'annulation. Ce champ est obligatoire et ne peut être mis à jour. La longueur maximale du champ est de 10 caractères.;VARCHAR2;10;FALSE;FALSE;YES;;AFRU;GRUND;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Motif écart/confirmation, à transcoder si utilisé comme cause annulation.;A transcoder;Faible;ne pas renseigner
clean_data;jt_task;source_connection_lu_name;Nom UL connexion source;#N/A;VARCHAR2;4000;FALSE;FALSE;YES;;;;;"Pas de mapping SAP proposé à ce stade; champ IFS à laisser vide ou alimenté par défaut/système selon validation métier.";Non mappé;;ne pas renseigner
clean_data;jt_task;source_connection_lu_name_db;Nom UL connexion source;#N/A;VARCHAR2;20;FALSE;FALSE;YES;;Constante ou transcodification;Voir SOURCE_CONNECTION_LU_NAME;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Valeur DB/code du champ SOURCE_CONNECTION_LU_NAME. A renseigner seulement si IFS l’exige.;A valider;Faible;ne pas renseigner
clean_data;jt_task;source_connection_rowkey;Clé interne connexion source;#N/A;VARCHAR2;50;FALSE;FALSE;YES;;;;;"Pas de mapping SAP proposé à ce stade; champ IFS à laisser vide ou alimenté par défaut/système selon validation métier.";Non mappé;;ne pas renseigner
